,participant.code,player.number_variables,number_models
0,26pwwhw0,1.0,2
1,26pwwhw0,2.0,3
2,26pwwhw0,3.0,2
3,26pwwhw0,4.0,1
4,26pwwhw0,5.0,1
5,7qi03940,1.0,4
6,7qi03940,2.0,2
7,7qi03940,3.0,1
8,7qi03940,4.0,1
9,7qi03940,5.0,1
10,7zc9awei,1.0,1
11,7zc9awei,2.0,3
12,7zc9awei,3.0,5
13,7zc9awei,4.0,5
14,7zc9awei,5.0,2
15,92yk5xn6,1.0,4
16,92yk5xn6,2.0,4
17,92yk5xn6,3.0,5
18,92yk5xn6,4.0,4
19,92yk5xn6,5.0,4
20,a4h9ps2u,1.0,4
21,a4h9ps2u,2.0,5
22,a4h9ps2u,3.0,5
23,a4h9ps2u,4.0,1
24,a4h9ps2u,5.0,1
25,c05x1m4c,1.0,3
26,c05x1m4c,2.0,3
27,c05x1m4c,3.0,4
28,c05x1m4c,4.0,2
29,c05x1m4c,5.0,1
30,cdztu33r,1.0,2
31,cdztu33r,2.0,4
32,cdztu33r,3.0,4
33,cdztu33r,4.0,5
34,cdztu33r,5.0,1
35,cefo5bkh,1.0,2
36,cefo5bkh,2.0,4
37,cefo5bkh,3.0,5
38,cefo5bkh,4.0,4
39,cefo5bkh,5.0,3
40,ckomyy0d,1.0,2
41,ckomyy0d,2.0,2
42,ckomyy0d,3.0,1
43,ckomyy0d,4.0,5
44,ckomyy0d,5.0,4
45,df1mz2c9,1.0,3
46,df1mz2c9,2.0,2
47,df1mz2c9,3.0,1
48,df1mz2c9,4.0,2
49,df1mz2c9,5.0,1
50,ds4agayd,1.0,5
51,ds4agayd,2.0,6
52,ds4agayd,3.0,5
53,ds4agayd,4.0,4
54,ds4agayd,5.0,1
55,ds8qmihn,1.0,4
56,ds8qmihn,2.0,7
57,ds8qmihn,3.0,7
58,ds8qmihn,4.0,5
59,ds8qmihn,5.0,2
60,dziqbwrl,1.0,3
61,dziqbwrl,2.0,3
62,dziqbwrl,3.0,3
63,dziqbwrl,4.0,2
64,dziqbwrl,5.0,2
65,e78dr8xl,1.0,4
66,e78dr8xl,2.0,4
67,e78dr8xl,3.0,2
68,e78dr8xl,4.0,2
69,e78dr8xl,5.0,3
70,ezx9jjc8,1.0,1
71,ezx9jjc8,2.0,3
72,ezx9jjc8,3.0,4
73,ezx9jjc8,4.0,4
74,ezx9jjc8,5.0,3
75,g48y13b2,1.0,1
76,g48y13b2,2.0,3
77,g48y13b2,3.0,2
78,g48y13b2,4.0,2
79,g48y13b2,5.0,4
80,h1ybzcse,1.0,2
81,h1ybzcse,2.0,1
82,h1ybzcse,3.0,1
83,h1ybzcse,4.0,2
84,h1ybzcse,5.0,1
85,heeiiyeh,1.0,5
86,heeiiyeh,2.0,2
87,heeiiyeh,3.0,3
88,heeiiyeh,4.0,5
89,heeiiyeh,5.0,3
90,hynxkf5s,1.0,1
91,hynxkf5s,2.0,1
92,hynxkf5s,3.0,1
93,hynxkf5s,4.0,1
94,hynxkf5s,5.0,1
95,i0xtvmf7,1.0,3
96,i0xtvmf7,2.0,4
97,i0xtvmf7,3.0,4
98,i0xtvmf7,4.0,3
99,i0xtvmf7,5.0,1
100,ikxndj2x,1.0,2
101,ikxndj2x,2.0,2
102,ikxndj2x,3.0,2
103,ikxndj2x,4.0,3
104,ikxndj2x,5.0,1
105,jmbhb6nn,1.0,2
106,jmbhb6nn,2.0,1
107,jmbhb6nn,3.0,1
108,jmbhb6nn,4.0,4
109,jmbhb6nn,5.0,1
110,kgngeozb,1.0,1
111,kgngeozb,2.0,2
112,kgngeozb,3.0,2
113,kgngeozb,4.0,3
114,kgngeozb,5.0,3
115,l9f93y7e,1.0,1
116,l9f93y7e,2.0,1
117,l9f93y7e,3.0,1
118,l9f93y7e,4.0,2
119,l9f93y7e,5.0,1
120,mvtoqg27,1.0,2
121,mvtoqg27,2.0,4
122,mvtoqg27,3.0,4
123,mvtoqg27,4.0,3
124,mvtoqg27,5.0,1
125,nl0lf9mk,1.0,2
126,nl0lf9mk,2.0,8
127,nl0lf9mk,3.0,6
128,nl0lf9mk,4.0,5
129,nl0lf9mk,5.0,3
130,qko8teup,1.0,4
131,qko8teup,2.0,3
132,qko8teup,3.0,2
133,qko8teup,4.0,3
134,qko8teup,5.0,1
135,rrfz9xv7,1.0,2
136,rrfz9xv7,2.0,3
137,rrfz9xv7,3.0,3
138,rrfz9xv7,4.0,3
139,rrfz9xv7,5.0,4
140,thcxnun5,1.0,5
141,thcxnun5,2.0,6
142,thcxnun5,3.0,4
143,thcxnun5,4.0,4
144,thcxnun5,5.0,1
145,wqoj34fk,1.0,3
146,wqoj34fk,2.0,2
147,wqoj34fk,3.0,2
148,wqoj34fk,4.0,2
149,wqoj34fk,5.0,2
