,p1_code,p1_guess,p1_correct,p1_chose_x1,p1_chose_x2,p1_chose_x3,p1__chose_x4,p1_chose_x5,p1_revealed,round_number_modif,p1_number_variables,group.id_in_subsession,p1_x1,p1_x2,p1_x3,p1_x4,p1_x5,p1_y,session.code,p2_code,p2_guess,p2_correct,p2_chose_x1,p2_chose_x2,p2_chose_x3,p2_chose_x4,p2_chose_x5,p2_revealed,p2_number_variables,p2_x1,p2_x2,p2_x3,p2_x4,p2_x5,p2_y,polarized,p1_prediction,p2_prediction,predicted_polarization
0,h1ybzcse,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3,21,3.0,1,0.0,-8.0,7.0,-4.0,98.0,1.0,1jia4yj2,ezx9jjc8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,-9.0,7.0,-3.0,99.0,1.0,0.0,1,0,1.0
1,wqoj34fk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,21,1.0,2,-1.0,-9.0,7.0,-7.0,99.0,0.0,1jia4yj2,ckomyy0d,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,-1.0,-9.0,7.0,-7.0,99.0,0.0,1.0,0,1,1.0
2,thcxnun5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2,21,2.0,3,0.0,-6.0,8.0,-7.0,101.0,1.0,1jia4yj2,df1mz2c9,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2,2.0,0.0,-8.0,6.0,-6.0,95.0,1.0,0.0,1,1,0.0
3,h1ybzcse,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4,22,4.0,1,0.0,-10.0,8.0,-1.0,94.0,1.0,1jia4yj2,ezx9jjc8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,-9.0,9.0,-7.0,93.0,1.0,0.0,1,1,0.0
4,wqoj34fk,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4,22,4.0,2,0.0,-10.0,8.0,7.0,95.0,1.0,1jia4yj2,ckomyy0d,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0.0,-10.0,8.0,7.0,95.0,1.0,0.0,1,1,0.0
5,thcxnun5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,22,2.0,3,0.0,-10.0,3.0,-3.0,101.0,0.0,1jia4yj2,df1mz2c9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,-10.0,7.0,-9.0,94.0,0.0,0.0,1,1,0.0
6,h1ybzcse,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,23,5.0,1,0.0,-10.0,3.0,-6.0,102.0,0.0,1jia4yj2,ezx9jjc8,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,3.0,1.0,-6.0,0.0,-1.0,112.0,1.0,0.0,0,1,1.0
7,wqoj34fk,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4,23,4.0,2,0.0,-7.0,6.0,-13.0,96.0,0.0,1jia4yj2,ckomyy0d,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,-7.0,6.0,-13.0,96.0,0.0,1.0,1,0,1.0
8,thcxnun5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,23,5.0,3,0.0,-14.0,9.0,1.0,98.0,1.0,1jia4yj2,df1mz2c9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,-14.0,8.0,-10.0,104.0,0.0,1.0,1,1,0.0
9,h1ybzcse,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3,24,3.0,1,-1.0,-6.0,6.0,-3.0,104.0,1.0,1jia4yj2,ezx9jjc8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,5.0,-2.0,-8.0,2.0,0.0,97.0,0.0,0.0,1,0,1.0
10,wqoj34fk,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,24,5.0,2,0.0,-7.0,1.0,-6.0,100.0,1.0,1jia4yj2,ckomyy0d,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0.0,-7.0,1.0,-6.0,100.0,1.0,1.0,0,0,0.0
11,thcxnun5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,24,5.0,3,1.0,-8.0,5.0,-4.0,97.0,1.0,1jia4yj2,df1mz2c9,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2,2.0,0.0,-9.0,3.0,0.0,104.0,1.0,0.0,1,0,1.0
12,h1ybzcse,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4,25,4.0,1,0.0,-10.0,1.0,-6.0,96.0,0.0,1jia4yj2,ezx9jjc8,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4,4.0,0.0,-7.0,4.0,0.0,97.0,1.0,0.0,0,1,1.0
13,wqoj34fk,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3,25,3.0,2,0.0,-10.0,1.0,-3.0,99.0,0.0,1jia4yj2,ckomyy0d,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,4.0,0.0,-10.0,1.0,-3.0,99.0,0.0,1.0,0,1,1.0
14,thcxnun5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5,25,5.0,3,0.0,-10.0,2.0,-6.0,101.0,0.0,1jia4yj2,df1mz2c9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,2.0,0.0,-9.0,7.0,-9.0,102.0,0.0,0.0,0,1,1.0
15,h1ybzcse,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3,26,3.0,1,0.0,-10.0,3.0,6.0,93.0,1.0,1jia4yj2,ezx9jjc8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,-8.0,8.0,-6.0,97.0,1.0,0.0,1,1,0.0
16,wqoj34fk,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5,26,5.0,2,1.0,-9.0,4.0,-1.0,96.0,1.0,1jia4yj2,ckomyy0d,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,4.0,1.0,-9.0,4.0,-1.0,96.0,1.0,0.0,1,1,0.0
17,thcxnun5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,26,2.0,3,-1.0,-7.0,1.0,-4.0,92.0,0.0,1jia4yj2,df1mz2c9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,0.0,-10.0,5.0,3.0,97.0,1.0,1.0,1,1,0.0
