participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.x1,player.x2,player.x3,player.x4,player.x5,player.y,player.chose_x1,player.chose_x2,player.chose_x3,player.chose_x4,player.chose_x5,player.number_variables,player.guess,player.correct,group.id_in_subsession,group.x1,group.x2,group.x3,group.x4,group.x5,group.y,group.polarized,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-8,7,-4,98,1,0,1,1,1,0,3,1,1,1,0,-8,7,-4,98,1,,1,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,0,-9,7,-3,99,1,0,0,0,0,1,1,1,1,1,0,-8,7,-4,98,1,,1,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,-1,-9,7,-7,99,0,0,0,0,1,0,1,0,1,2,-1,-9,7,-7,99,0,,1,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,-1,-9,7,-7,99,0,0,1,0,0,0,1,1,0,2,-1,-9,7,-7,99,0,,1,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,0,-6,8,-7,101,1,0,1,0,0,1,2,1,1,3,0,-6,8,-7,101,1,,1,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-8,6,-6,95,1,0,1,1,0,0,2,1,1,3,0,-6,8,-7,101,1,,1,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,0,-10,8,-1,94,1,0,1,1,1,1,4,0,0,1,0,-10,8,-1,94,1,,2,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,0.0,0,-9,9,-7,93,1,0,0,0,0,1,2,0,0,1,0,-10,8,-1,94,1,,2,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,0,-10,8,7,95,1,0,1,1,1,1,4,1,1,2,0,-10,8,7,95,1,,2,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,0,-10,8,7,95,1,0,0,0,1,0,2,1,1,2,0,-10,8,7,95,1,,2,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,0,-10,3,-3,101,0,1,0,0,0,1,2,1,0,3,0,-10,3,-3,101,0,,2,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,0.0,0,-10,7,-9,94,0,1,0,0,0,0,1,1,0,3,0,-10,3,-3,101,0,,2,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,0,-10,3,-6,102,0,1,1,1,1,1,5,1,0,1,0,-10,3,-6,102,0,,3,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,1,-6,0,-1,112,1,1,0,0,0,1,3,1,1,1,0,-10,3,-6,102,0,,3,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,0.0,0,-7,6,-13,96,0,0,1,1,1,1,4,1,0,2,0,-7,6,-13,96,0,,3,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,0,-7,6,-13,96,0,0,0,0,1,0,1,0,1,2,0,-7,6,-13,96,0,,3,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,0.0,0,-14,9,1,98,1,1,1,1,1,1,5,0,0,3,0,-14,9,1,98,1,,3,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,0.0,0,-14,8,-10,104,0,1,0,0,0,0,1,1,0,3,0,-14,9,1,98,1,,3,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,0.0,-1,-6,6,-3,104,1,0,1,1,1,0,3,0,0,1,-1,-6,6,-3,104,1,,4,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,1.0,-2,-8,2,0,97,0,1,1,1,1,1,5,0,1,1,-1,-6,6,-3,104,1,,4,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,0.0,0,-7,1,-6,100,1,1,1,1,1,1,5,0,0,2,0,-7,1,-6,100,1,,4,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,1.0,0,-7,1,-6,100,1,0,0,0,1,0,2,1,1,2,0,-7,1,-6,100,1,,4,1jia4yj2,,,,,0
5,thcxnun5,LAB16,0,260,260,Part2,Result,2023-06-05 17:04:41.597158,1,,,26.0,1,,1.0,1,-8,5,-4,97,1,1,1,1,1,1,5,1,1,3,1,-8,5,-4,97,1,,4,1jia4yj2,,,,,0
6,df1mz2c9,LAB10,0,260,260,Part2,Result,2023-06-05 17:04:42.334258,1,,,42.0,2,,1.0,0,-9,3,0,104,1,1,0,1,0,0,2,1,1,3,1,-8,5,-4,97,1,,4,1jia4yj2,,,,,0
1,h1ybzcse,LAB23,0,260,260,Part2,Result,2023-06-05 17:04:32.003908,1,,,35.0,1,,1.0,0,-10,1,-6,96,0,0,1,1,1,1,4,0,1,1,0,-10,1,-6,96,0,,5,1jia4yj2,,,,,0
2,ezx9jjc8,LAB18,0,260,260,Part2,Result,2023-06-05 17:04:34.369220,1,,,35.0,2,,0.0,0,-7,4,0,97,1,1,1,1,0,1,4,0,0,1,0,-10,1,-6,96,0,,5,1jia4yj2,,,,,0
3,wqoj34fk,LAB21,0,260,260,Part2,Result,2023-06-05 17:04:34.780456,1,,,38.0,1,,1.0,0,-10,1,-3,99,0,0,1,1,1,0,3,0,1,2,0,-10,1,-3,99,0,,5,1jia4yj2,,,,,0
4,ckomyy0d,LAB08,0,260,260,Part2,Result,2023-06-05 17:04:40.601355,1,,,36.0,2,,0.0,0,-10,1,-3,99,0,0,0,0,1,0,4,1,0,2,0,-10,1,-3,99,0,,5,1jia4yj2,,,,,0
